title,company,location,link
[모토텍&모토닉스] 본부별 신입/경력모집 (관리본부/제조본부),(주)모토닉스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41428718
환경유해물질 담당자(신입) 모집공고,(주) 파워로직스,충북,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41449097
경비지도사 구인,(주)신화시스템즈,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41429611
"반도체 필드엔지니어(FSE, CS) 신입/경력모집",멜콘 주식회사,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41334839
[메이저월드] 인사/총무 신입 모집,메이저월드(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41363537
[평택 통복동/성과급] 글로벌항공운송기업 배송기사 채용,(주)사람인에이치에스,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41383652
"재무, 회계, 세무 총무사무원 모집",하나산업(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41419400
"공조냉동 관련 석사,박사(연구과제 유경험자)",대한공조(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41242308
"[경력]PLC 및 전장 설계, 제작  가능자",대한공조(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41242339
"[신입/경력]기구,판금 설계/3D(Solid edge,Soid works)",대한공조(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41242332
"냉동공조 관련(냉동공조자격증소지자,가스안전관리 우대)",대한공조(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41342735
[삼성전자 채용박람회] 와이솔 해외영업 부문 신입 모집,(주) 와이솔,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41342933
[삼성전자 채용박람회] 와이솔 연구개발 부문 신입/경력 모집,(주) 와이솔,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41341637
[삼성전자 채용박람회] 와이솔 재무원가 부문 신입/경력 모집,(주) 와이솔,경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41343143
전기자동차 개발 인력 모집 (차량개발/전장개발/제어기개발),에이치케이엠엔에스(주),경기,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41419237
